district_id,cook_rating,delta_seats_no_maturity,delta_seats_with_maturity,model_party_no_maturity,model_party_with_maturity
NM-02,Lean D,0.02462744512173143,0.00970016974463106,1389145.455074559,625396.60491515
NM-03,Likely D,0.0,0.0004465785966989433,0.0,203528.75865910994
NV-01,Likely D,0.14585073906630897,0.032157563683678725,1220711.1354745994,202750.02843819628
NV-02,Likely R,0.08086389041391362,0.05624559838111892,4897733.766445626,4739822.936919147
NV-03,Lean D,0.05049721149871278,0.03338562433437553,2561849.5600484246,2120772.44951492
NV-04,Likely D,0.008645041923493135,0.004050901361047687,845549.3016464522,507318.65627386305
NY-01,Likely R,0.14553048783190098,0.05797789602420139,4819021.630933661,2231692.137129504
NY-02,Likely R,0.13919406509642818,0.04968394375383922,4122919.333959095,1520910.509305314
NY-03,Lean D,0.0263776305457194,0.01321962376064556,1614248.718626283,975870.0032633534
NY-04,Lean D,0.006105261723371891,0.007317564413613864,992382.4304961662,1783756.982933543
NY-05,Safe D,0.0,0.0,0.0,0.0
NY-06,Safe D,0.0,0.0,0.0,0.0
NY-07,Safe D,0.0,0.0,0.0,0.0
NY-08,Safe D,0.0,0.0,0.0,0.0
NY-09,Safe D,0.0,0.0,0.0,0.0
NY-10,Safe D,0.0,0.0,0.0,0.0
NY-11,Likely R,0.040808950702349286,0.00784645028258106,710546.6348727936,106088.9766643578
NY-12,Safe D,0.0,0.0,0.0,0.0
NY-13,Safe D,0.0,0.0,0.0,0.0
NY-14,Safe D,0.0,0.0,0.0,0.0
NY-15,Safe D,-2.8403113194741536e-10,-2.840280233229464e-10,5000.0,5000.0
NY-16,Safe D,0.0,0.0,0.0,0.0
NY-17,Toss-Up,0.0007840189373156115,0.01442787897087805,224342.67594575882,6209096.664926993
NY-18,Lean D,0.0,0.0,0.0,0.0
NY-19,Lean D,0.0338804668301389,0.016164449276706128,1947996.9311083064,1102791.937338665
NY-20,Likely D,0.0,0.0,0.0,0.0
NY-21,Likely R,0.05366443567189394,0.06231351498022025,5264798.684079979,9051703.103010701
NY-22,Lean D,0.0019426888615928783,0.0006175635631278098,322454.6261341431,139476.53448724828
NY-23,Safe R,0.014191941614371685,0.0022305609298776397,393113.66101475025,58870.34386322167
NY-24,Safe R,0.004201393147705332,0.0011368407896851715,124942.38132108015,37997.69207332152
NY-25,Likely D,0.0,0.0,0.0,0.0
NY-26,Safe D,0.0,0.0,0.0,0.0
OH-01,Lean D,0.06689697929761595,0.02690369289404071,2235489.820373821,922375.3641144941
OH-02,Safe R,0.0,2.7794913096248824e-14,0.0,1.77956669631385e-05
OH-03,Safe D,0.0,0.0,0.0,0.0
OH-04,Safe R,0.0,0.0,0.0,0.0
OH-05,Safe R,5.662923044212219e-07,9.019148418517794e-08,37.24998394854629,7.504081642431629
OH-06,Safe R,3.7743247656373945e-05,5.220162538162407e-06,1312.4605346967,219.95351631237645
OH-07,Likely R,0.08620541819932703,0.019202315989532426,2500633.294871559,471955.77252991224
OH-08,Safe R,0.0004923129188942124,3.9096397247941755e-05,7759.983600376974,694.1498851655706
OH-09,Toss-Up,0.09398157171717547,0.04021779417884597,3089590.9701862456,1379773.2719886126
OH-10,Likely R,0.14452680893315822,0.0290053037636831,3429867.8833785043,536616.5028463254
OH-11,Safe D,0.0,0.0,0.0,0.0
OH-12,Safe R,0.028766787209814904,0.01063550232820104,2127356.9824953014,968824.0648482824
OH-13,Lean D,0.0,0.00039805393807079703,0.0,174989.0489736118
OH-14,Safe R,0.00018129018198741447,2.729331835745353e-05,2587.8817614732434,447.17218981560654
OH-15,Likely R,0.10548515997483737,0.06229302549215382,5247622.709791667,4233519.874488983
OK-01,Safe R,0.0001287272403466067,7.217968985431724e-05,6607.456782104564,4607.045255998411
OK-02,Safe R,0.0,1.9498150970209162e-08,0.0,9.943742781484616
OK-03,Safe R,0.0,0.0,0.0,5.684341886080802e-14
OK-04,Safe R,4.211256621695415e-07,2.660564638543039e-07,78.37592402104201,68.5750767609643
OK-05,Safe R,0.03247771561260222,0.007218563716379092,1415913.9623641698,311036.9454807319
OR-01,Safe D,0.0,0.0,0.0,0.0
OR-02,Safe R,0.0009808326633170758,9.968311211978019e-05,22408.131493211025,2573.8094089842925
OR-03,Safe D,0.0,0.0,0.0,0.0
OR-04,Likely D,0.011222548441820024,0.002156694649055435,617690.0948057874,126441.53994298156
OR-05,Lean D,0.011566574622951964,0.0031041993455493966,812456.6383302053,249559.0583122191
OR-06,Likely D,0.00021920046310874852,0.00022334285110614527,57602.53153679287,85619.5618465268
PA-01,Toss-Up,0.022931333462947345,0.03010386943289789,8645137.514218459,13058634.961424144
PA-02,Safe D,0.0,0.0,0.0,0.0
PA-03,Safe D,0.0,0.0,0.0,0.0
PA-04,Likely D,0.0,0.0,0.0,0.0
PA-05,Safe D,0.0,0.0,0.0,0.0
PA-06,Likely D,0.002954466422109503,0.000821259799804297,369975.52482116874,132895.09471297008
PA-07,Lean R,-0.019141892224099233,-0.009070434079317735,6163744.102937836,8911635.756620986
PA-08,Likely R,0.12466347180038712,0.1005545014276405,6720426.135199249,7856502.97418567
PA-09,Safe R,0.00025228453906764314,8.228108814114371e-05,24097.60577226919,10187.036931631388
PA-10,Likely R,0.09529549802231108,0.09073982793386304,6916825.3669002205,9801436.935600048
PA-11,Safe R,0.001841349887793487,0.00046931308860895596,64421.779162700754,19191.508830504958
PA-12,Likely D,0.0,5.1057752397332123e-05,0.0,24829.412020393298
PA-13,Safe R,6.238967732841009e-08,2.12563186035951e-08,13.867650628737465,6.674849885268486
PA-14,Safe R,1.8435606366320025e-05,1.2193321567564863e-05,2344.8614638745785,2067.5930209270155
PA-15,Safe R,9.126473201420899e-07,3.001283852464517e-07,132.56403639870405,58.83480252567824
PA-16,Safe R,0.00022814305912254116,2.9984049568697498e-05,4639.998737819027,709.4401673676548
PA-17,Lean D,0.0,0.0002971190871378093,0.0,158957.3921803874
RI-01,Safe D,0.0,0.0,0.0,0.0
RI-02,Likely D,0.19384849505146495,0.057883011194503786,2356069.5224793334,540852.1922144595
SC-01,Likely R,0.0644399772122039,0.056673910086766865,5239217.181509299,6790752.536270343
SC-02,Safe R,0.0014588211638098623,0.00015228900335889466,14034.23066813431,1543.2323426679286
SC-03,Safe R,1.2496462425294749e-05,7.62751912222661e-07,509.33243909918747,38.07760916012194
SC-04,Safe R,5.183374583861422e-05,1.1963197365197787e-05,1844.1675095581159,516.4998466404213
SC-05,Safe R,0.008865825605935497,0.0008031623689099404,102766.31866678194,8305.119156955385
SC-06,Safe D,0.0,0.0,0.0,0.0
SC-07,Safe R,0.017057945123726978,0.0034676069002844007,493106.88303585234,97552.02593322642
SD-00,Safe R,5.011467172157547e-05,4.46929360685723e-05,4320.3735559606575,4976.27330311542
TN-01,Safe R,9.33888970211245e-07,1.60471464106496e-07,175.48269744036952,41.80925450530776
TN-02,Safe R,0.0006264713445652843,0.00024174697999806115,48934.42555593554,24038.06629106088
TN-03,Safe R,6.351628286033043e-06,7.429017802043029e-07,361.57842288068787,52.90079105944096
TN-04,Safe R,0.005642223720346992,0.0011125138727710315,565853.3439722725,135724.26532564696
TN-05,Safe R,0.05053692912772534,0.03526146022566501,3695608.7948982,3723813.945455063
TN-06,Safe R,4.622267678410039e-05,1.4782756036152162e-05,2255.8829092957385,893.0162956934
TN-07,Safe R,-0.0007633922312244371,-0.0003878223421358018,487561.3442989987,687495.707145105
TN-08,Safe R,5.307761502364302e-05,1.1569366300416117e-05,4391.068478003537,1227.9246700116055
TN-09,Safe D,0.0013039677716133458,0.0009109006165517464,248829.1587519287,245074.33499323204
TX-01,Safe R,0.0,6.730959722017283e-11,0.0,0.04152928239273024
TX-02,Safe R,0.00980093318844101,0.007119183923291,932688.0047075385,907022.3209450492
TX-03,Safe R,0.04710913608641576,0.014994696165076926,2654873.6363775255,990291.7339371407
TX-04,Safe R,1.8888522831369452e-05,1.0813501221723556e-06,464.7463092599555,31.716336638022767
TX-05,Safe R,1.3941716894884555e-05,1.5233289551736667e-06,435.2381914035759,57.403445127874875
TX-06,Safe R,1.557037456329229e-07,9.843501721693536e-08,26.402196160193853,22.88559804810575
TX-07,Safe D,0.0015876683664486357,0.00038721634962435303,178957.31507489784,56014.55250613415
TX-08,Safe R,1.6884730806709524e-07,7.980169185403956e-08,19.574684285915282,12.228568083650316
TX-09,Safe D,0.00842964734354179,0.003095233380145057,418919.2520272067,172669.75853103027
TX-10,Safe R,0.0024950232929628266,0.0009801489477147159,112509.67702268233,53229.266812263
TX-11,Safe R,0.0,4.5922126075412044e-09,0.0,2.3380926363606704
TX-12,Safe R,5.680072094614878e-06,6.607089858878855e-07,170.8918898689899,23.994612021686407
TX-13,Safe R,0.0,3.541468618326895e-08,0.0,15.852130695609958
TX-14,Safe R,6.624071433532002e-05,6.7714100233941775e-06,1934.980454131317,236.65539672008526
TX-15,Toss-Up,0.1337618759783445,0.13479482933734172,8203395.111245807,12391573.733821873
TX-16,Safe D,0.0,0.0,0.0,0.0
TX-17,Safe R,5.128078096601528e-05,4.277754548477099e-06,1110.9672253535318,109.38267301174346
TX-18,Safe D,0.0,0.0,0.0,0.0
TX-19,Safe R,1.971964373994532e-08,9.240819982180232e-09,4.107630670321669,2.699147206629277
TX-20,Safe D,1.432780737353756e-05,1.3870568953744389e-05,4047.5822899863124,5717.754807882709
TX-21,Safe R,0.0003576257845935441,0.0002040244349832054,16608.5632499707,11700.728075013962
TX-22,Safe R,0.005929639958426745,0.0005011129841442676,63292.02202615187,5007.126686635114
TX-23,Lean R,0.03830957594976703,0.0214232541409074,1015941.835460789,640683.817798666
TX-24,Safe R,0.007755922112105611,0.001963123699025956,215529.59619983257,58535.9098496004
TX-25,Safe R,9.668754053783002e-05,1.4283455593070132e-05,4856.977740851085,885.8671422460902
TX-26,Safe R,0.00010800579165811579,4.973199240508293e-05,6929.135850355888,4022.6631623908033
TX-27,Safe R,0.005002166110172814,0.0007296542047417372,116200.31437393867,17706.90541113836
TX-28,Likely D,0.019172224055539866,0.0059869802899923386,966879.7280164794,330094.0251179184
TX-29,Safe D,0.0,0.0,0.0,0.0
TX-30,Safe D,0.0,0.0,0.0,0.0
TX-31,Safe R,0.0032557138527537846,0.0006914815627343425,117887.0256763176,28528.76082569672
TX-32,Safe D,0.2796957924730352,0.15658353987624107,3894622.4774365965,2293016.6259682574
TX-33,Safe D,0.0,0.0,0.0,0.0
TX-34,Safe D,0.06926741625516275,0.0414626806520807,2408464.5207202286,1806637.683881855
TX-35,Safe D,-0.0016104479068226318,-5.406089806303527e-05,530989.7968344975,198272.87942048255
TX-36,Safe R,0.003219435871727787,0.0004499051379948174,137552.1102175967,21668.69576456194
TX-37,Safe D,0.0003962951592717534,0.00047860354769613256,100905.81357787969,179137.70075907966
TX-38,Safe R,0.00022591698923899676,0.0001590883816353656,11653.339908985625,10229.3163385285
UT-01,Safe R,0.0015216797122901693,0.004011120390593037,374133.11994295404,1482947.6910582252
UT-02,Safe R,2.0103693094156985e-05,6.5865141316986345e-06,872.00670987591,351.44014281264026
UT-03,Safe R,4.738818208612546e-05,8.822816275401782e-06,1628.3757519612845,367.07568169877777
UT-04,Safe R,0.0006062791346411016,7.967131867572808e-05,11575.124940283029,1736.6717909180516
VA-01,Likely R,0.08291179546054772,0.057352050484753,5042957.34898613,4991626.0044696145
VA-02,Lean R,0.14611012124944672,0.11626299449921157,7082094.625449214,8165838.6396067105
VA-03,Safe D,0.0,0.0,0.0,0.0
VA-04,Safe D,0.0,0.0,0.0,0.0
VA-05,Likely R,0.10458694629788962,0.044725279089322056,4399970.267321358,2277217.4371868633
VA-06,Safe R,0.03274856381637303,0.01220859855943418,2225583.875220204,1004988.6023106973
VA-07,Lean D,0.0,0.0,0.0,0.0
VA-08,Safe D,0.0,0.0,0.0,0.0
VA-09,Safe R,2.580011812786608e-06,6.112680037126178e-07,342.8145420374494,108.65414187016722
VA-10,Likely D,0.007887650494753373,0.0012463341265236405,456654.99624690297,77632.89090256719
VA-11,Safe D,0.0,0.0,0.0,0.0
VT-00,Safe D,4.182076511760613e-06,1.1923984005624e-05,1207.9883690576535,5040.335099585063
WA-01,Safe D,0.0,0.0,0.0,0.0
WA-02,Safe D,0.0,0.0,0.0,0.0
WA-03,Toss-Up,0.014015118990632569,0.015683338208128728,2031910.9758791812,3322935.0771544836
WA-04,Safe R,0.021404589790620286,0.002640447620768628,413437.1011201649,42157.77456426667
WA-05,Safe R,0.08083406729411374,0.017777681785219823,2586418.8531053592,499316.1315823193
WA-06,Likely D,0.0,2.051002875558261e-05,0.0,12589.080968368566
WA-07,Safe D,0.0,0.0,0.0,0.0
WA-08,Lean D,0.0022578842168539115,0.0009383973179486471,381475.72472742246,218141.23305391753
WA-09,Safe D,0.0,0.0,0.0,0.0
