district_id,state,district,cook_rating,incumb_status,pvi,d_total,r_total,ratio,mu_hat,sigma_i,p_win,msg_i_per_1m,recommended_share,observed_share,difference,outcome,redistricting_flagged
UT-03,UT,3,Safe R,Open,-13.645002876084327,83536.66,5239036.32,0.01569478902664102,-45.415,10.038,0.0,0.000125,6.5e-05,6.5e-05,0.0,R,False
TX-12,TX,12,Safe R,Open,-13.051453656022414,28616.86,2662086.44,0.010635457279886639,-47.575,9.997,0.0,0.000123,2.2e-05,2.2e-05,0.0,R,False
MI-11,MI,11,Likely D,Incumbent,6.989361726624355,1920823.0,89017.5,0.9557091719467291,38.304,11.566,0.9995,0.000111,0.001484,0.001488,-4e-06,D,False
VT-00,VT,0,Safe D,Incumbent,15.057806438313465,1437977.9400000002,177588.9,0.8900764142943167,44.6,12.23,0.9999,0.00011,0.000992,0.001114,-0.000122,D,False
NJ-09,NJ,9,Safe D,Incumbent,9.263237829680254,1643811.8,99045.73,0.9431704954104884,40.314,11.749,0.9997,0.00011,0.001273,0.001273,0.0,D,False
TN-02,TN,2,Safe R,Challenger,-18.47057443452429,257435.68,1336137.46,0.16154619674375284,-30.833,7.161,0.0,0.000104,0.000199,0.000199,0.0,R,False
CA-16,CA,16,Safe D,Open,26.442084135142792,10038772.17,1038040.11,0.9062871082618005,28.054,10.968,0.9947,0.000101,0.004752,0.007775,-0.003022,D,False
WI-02,WI,2,Safe D,Incumbent,18.958739607660107,1060953.72,165756.96,0.864876891754134,47.825,12.565,0.9999,9.9e-05,0.000822,0.000822,0.0,D,False
NY-23,NY,23,Safe R,Challenger,-12.452534835467782,32386.73,927737.09,0.033731826380476636,-33.153,6.869,0.0,8.9e-05,2.5e-05,2.5e-05,0.0,R,False
IL-13,IL,13,Likely D,Incumbent,3.4188055743444465,3229547.83,88886.09,0.9732144462891701,35.057,11.283,0.9991,7.9e-05,0.002009,0.002501,-0.000492,D,False
MI-05,MI,5,Safe R,Challenger,-14.539167945315114,118561.86,1753683.7,0.06332602011885663,-31.905,6.969,0.0,7.6e-05,9.2e-05,9.2e-05,0.0,R,False
TX-07,TX,7,Safe D,Incumbent,13.729817763471857,2448454.11,268128.48,0.9012993453661204,43.594,12.118,0.9998,7e-05,0.001894,0.001896,-2e-06,D,False
NJ-12,NJ,12,Safe D,Incumbent,15.154219911894874,985003.69,77595.57,0.9269756973103858,46.087,12.238,0.9999,6.8e-05,0.000763,0.000763,0.0,D,False
AR-03,AR,3,Safe R,Challenger,-15.476863151334888,257970.44,2703359.12,0.08711304661410262,-31.101,7.014,0.0,6.5e-05,0.0002,0.0002,0.0,R,False
CA-52,CA,52,Safe D,Incumbent,20.016199703055122,919328.33,122631.77,0.8823066545446414,49.646,12.657,1.0,6.3e-05,0.000712,0.000712,0.0,D,False
CA-30,CA,30,Safe D,Incumbent,24.07935261980949,1759073.49,440326.28,0.7997970691794698,50.655,13.018,1.0,6.2e-05,0.001362,0.001362,-1e-06,D,False
IN-08,IN,8,Safe R,Open,-19.049853045606127,22719.05,1338177.97,0.01669417278906232,-51.54,10.421,0.0,6.1e-05,1.8e-05,1.8e-05,0.0,R,False
NJ-11,NJ,11,Likely D,Incumbent,5.375678065707767,5173418.89,235275.8,0.9565004472456182,36.588,11.437,0.9993,5.9e-05,0.003866,0.004007,-0.000141,D,False
ID-02,ID,2,Safe R,Challenger,-14.863293758937132,100581.05,1589029.24,0.059529141480311416,-32.653,6.985,0.0,5.7e-05,7.8e-05,7.8e-05,0.0,R,False
PA-06,PA,6,Likely D,Incumbent,4.3527128827801125,2274690.4499999997,41254.74,0.9821866509716491,36.375,11.356,0.9993,5.5e-05,0.001591,0.001762,-0.00017,D,False
ID-01,ID,1,Safe R,Challenger,-22.463689738740225,187640.55,626902.72,0.2303629001808584,-33.194,7.362,0.0,5.3e-05,0.000145,0.000145,0.0,R,False
CA-46,CA,46,Safe D,Incumbent,16.58257586569293,1040325.62,86007.02,0.9236397695089438,47.505,12.36,0.9999,5e-05,0.000806,0.000806,0.0,D,False
TN-09,TN,9,Safe D,Incumbent,22.626245642096478,432301.02,47462.13,0.9010717475904516,53.18,12.888,1.0,4.9e-05,0.000335,0.000335,0.0,D,False
NY-24,NY,24,Safe R,Challenger,-11.822715104854463,95433.02,2701849.55,0.0341163316940126,-32.335,6.839,0.0,4.8e-05,7.4e-05,7.4e-05,0.0,R,False
CA-24,CA,24,Safe D,Incumbent,12.509524773144115,1517754.95,80220.71,0.9497985407362213,44.057,12.016,0.9999,4.5e-05,0.00116,0.001175,-1.6e-05,D,False
CA-32,CA,32,Safe D,Incumbent,20.567593412917894,1106415.26,140107.71,0.8876011807467936,50.445,12.705,1.0,4.1e-05,0.000857,0.000857,0.0,D,False
NJ-01,NJ,1,Safe D,Incumbent,10.541473432003373,1052235.64,26167.45,0.9757350009076847,42.844,11.854,0.9998,3.8e-05,0.000813,0.000815,-2e-06,D,False
NJ-06,NJ,6,Safe D,Incumbent,8.090405096667297,3077719.91,109023.45,0.9657884436605525,39.848,11.654,0.9997,3.7e-05,0.002384,0.002384,0.0,D,False
TX-05,TX,5,Safe R,Challenger,-14.83951783996549,38990.7,890620.5,0.04194301875881013,-34.709,6.983,0.0,3.6e-05,3e-05,3e-05,0.0,R,False
IL-08,IL,8,Likely D,Incumbent,6.424280826815448,4973013.29,179850.32,0.9650970152497399,38.023,11.52,0.9995,3.5e-05,0.003851,0.003851,0.0,D,False
SC-06,SC,6,Safe D,Incumbent,14.673162065264773,2678076.19,234244.15,0.9195678625106193,45.294,12.197,0.9999,3.4e-05,0.002074,0.002074,0.0,D,False
CA-31,CA,31,Safe D,Open,16.10022520246681,826620.0,350.0,0.9995767682019904,17.635,10.21,0.9579,3.4e-05,0.00064,0.00064,0.0,D,False
NY-20,NY,20,Likely D,Incumbent,6.380110330079763,1673736.28,23158.1,0.9863526567870416,38.71,11.517,0.9996,3.4e-05,0.001296,0.001296,0.0,D,False
WV-02,WV,2,Safe R,Open,-21.92686288918549,31663.98,1456821.1099999999,0.021272621548395893,-53.177,10.63,0.0,3.3e-05,2.5e-05,2.5e-05,0.0,R,False
NY-26,NY,26,Safe D,Incumbent,8.41704225398517,2325249.7,62849.36,0.9736822642524721,40.476,11.68,0.9997,3.2e-05,0.001801,0.001801,0.0,D,False
WA-10,WA,10,Likely D,Incumbent,6.465507414278027,1944896.59,30401.04,0.9846093877002221,38.743,11.524,0.9996,3.2e-05,0.001506,0.001506,-0.0,D,False
CA-15,CA,15,Safe D,Incumbent,28.539933135818373,778853.82,158495.01,0.8309113907999437,56.764,13.426,1.0,2.9e-05,0.000603,0.000603,0.0,D,False
