district_id,tier,msg_i_per_1m,floor,nl_party_alloc,lp_party_alloc
IN-05,Safe R,0.006450006295757771,158090.15,1876375.7438637929,0.0
IN-06,Safe R,1.7589509039228558e-06,18634.66,2.546585164964199e-11,0.0
IN-07,Safe D,0.0,682772.08,0.0,0.0
IN-08,Safe R,0.00034460216153662734,71314.16,4.3655745685100555e-11,0.0
IN-09,Safe R,0.001003454459701428,171141.59,8.731149137020111e-11,0.0
KS-01,Safe R,0.00025698418254952804,32967.12,0.0,0.0
KS-02,Safe R,0.08126756105899181,332706.85,1428650.910540679,0.0
KS-03,Toss-Up,9.26869717382953e-05,1905382.38,0.0,0.0
KS-04,Safe R,0.0001585929106343714,41992.12,0.0,0.0
KY-01,Safe R,2.531808060458926e-07,68318.45,0.0,0.0
KY-02,Safe R,4.9326125404005696e-08,58437.33,0.0,0.0
KY-03,Safe D,5.010804475826736e-06,986553.4,0.0,0.0
KY-04,Safe R,4.344648563244821e-09,56028.98,0.0,0.0
KY-05,Safe R,8.72205083226593e-10,32060.16,0.0,0.0
KY-06,Likely R,0.00899723451200082,678139.83,5459913.9049779195,0.0
LA-01,Safe R,2.907620743562382e-11,49058.75,0.0,0.0
LA-02,Safe D,5.338954615690874e-09,1174020.88,0.0,0.0
LA-03,Safe R,1.7461238292199635e-08,4364.94,1.000444171950221e-11,0.0
LA-04,Safe R,1.1480732020403783e-06,112673.65,1.4551915228366852e-11,0.0
LA-05,Safe R,9.451487687279227e-05,40387.57,2.9103830456733704e-11,0.0
LA-06,Safe R,1.8440853547519076,237836.64,3181270.772884313,59009487.8183864
MA-01,Safe D,2.2106139001346062e-05,1580414.0,0.0,0.0
MA-02,Safe D,0.0,646932.33,0.0,0.0
MA-03,Safe D,9.608942852173914e-09,1067021.88,0.0,0.0
MA-04,Safe D,0.0,914678.35,0.0,0.0
MA-05,Safe D,0.0,2773065.81,0.0,0.0
MA-06,Safe D,5.2708105278826805e-06,2774289.48,0.0,0.0
MA-07,Safe D,0.0,894648.84,0.0,0.0
MA-08,Safe D,0.0,479078.91,0.0,0.0
MA-09,Likely D,0.0042162808341111935,450719.22,1.7462298274040222e-10,0.0
MD-01,Safe R,0.025559900229590093,586519.62,1700956.6363313645,0.0
MD-02,Likely D,0.000127564248796125,516082.86,0.0,0.0
MD-03,Safe D,3.2446615571055202e-06,779931.59,0.0,0.0
MD-04,Safe D,0.0,487017.99,0.0,0.0
MD-05,Safe D,2.021655745890752e-05,5140533.67,0.0,0.0
MD-06,Toss-Up,0.00033389022310046176,18969363.35,0.0,0.0
MD-07,Safe D,0.0,303037.65,0.0,0.0
MD-08,Safe D,3.776213367743673e-09,4314797.77,0.0,0.0
ME-01,Safe D,0.0024080471980005218,358424.79,1.1641532182693481e-10,0.0
ME-02,Likely R,0.006406179420710682,5284721.27,0.0,0.0
MI-01,Safe R,0.009969772605867896,112145.63,1460727.8037968823,0.0
MI-02,Safe R,2.865798754173259e-05,25029.12,1.4551915228366852e-11,0.0
MI-03,Lean D,0.00015446729745597528,1026922.15,0.0,0.0
MI-04,Likely R,0.15738046163957617,522934.26,4606806.244237955,0.0
MI-05,Safe R,2.6048254981027595e-08,5440.91,0.0,0.0
MI-06,Safe D,0.0,855095.68,0.0,0.0
MI-07,Lean R,0.14510489369926258,962108.5,6420966.929036264,0.0
MI-08,Lean D,0.07274178353892764,966935.95,731589.4273782696,0.0
MI-09,Safe R,1.8284668469543015e-13,3262.07,0.0,0.0
MI-10,Lean R,0.2233566901783994,572441.46,4792223.19830936,0.0
MI-11,Likely D,3.7676150931511972e-06,2317187.2,0.0,0.0
MI-12,Safe D,2.9780153228953723e-09,1864791.09,0.0,0.0
MI-13,Safe D,3.074964393398355e-07,542968.69,0.0,0.0
MN-01,Likely R,0.09286661220465148,650790.75,2489533.8610404613,0.0
MN-02,Lean D,0.009979406598760128,1426426.16,2.3283064365386963e-10,0.0
MN-03,Likely D,0.00035865445949996577,707238.86,0.0,0.0
MN-04,Safe D,4.76944763330748e-07,930092.47,0.0,0.0
MN-05,Safe D,4.042264855799676e-06,3842103.46,0.0,0.0
MN-06,Safe R,3.629425882205117e-05,142547.45,0.0,0.0
MN-07,Safe R,0.0007120061862865389,116641.68,2.9103830456733704e-11,0.0
MN-08,Safe R,0.00673607934108613,33353.46,3721477.4163003885,0.0
MO-01,Safe D,0.0,1100409.21,0.0,0.0
MO-02,Likely R,0.06214414002416339,562187.07,3791895.3262770795,0.0
MO-03,Safe R,0.0002568496800675707,23173.13,0.0,0.0
MO-04,Safe R,0.00017101172718775185,140630.83,2.9103830456733704e-11,0.0
MO-05,Safe D,0.0018546700337703703,767494.75,1.1641532182693481e-10,0.0
MO-06,Safe R,0.0010796178259006848,38898.72,1.2369127944111824e-10,0.0
MO-07,Safe R,1.1975963729961808e-08,14991.63,0.0,0.0
MO-08,Safe R,1.221201723336177e-14,7351.59,0.0,0.0
MS-01,Safe R,0.0028210570348520666,306466.42,1.7462298274040222e-10,0.0
MS-02,Safe D,0.0027190916185860776,819626.12,1.1641532182693481e-10,0.0
MS-03,Safe R,0.01601458101096762,84792.03,755036.9053615233,0.0
MS-04,Safe R,8.940638661456026e-13,1711.6,1.1141310096718371e-11,0.0
MT-01,Likely R,0.1500258656403621,551915.23,2209745.0129412706,0.0
MT-02,Safe R,9.389785196568456e-08,11927.36,5.4569682106375694e-12,0.0
NC-01,Lean D,0.11351037233609969,622856.51,5359323.4121936215,0.0
NC-02,Safe D,3.567853697440212e-06,802866.76,0.0,0.0
NC-03,Safe R,0.0069911552010208,273730.75,2.3283064365386963e-10,0.0
NC-04,Safe D,1.91451261894038e-05,1024276.73,0.0,0.0
NC-05,Safe R,0.010616312129446973,244387.65,1305000.1044748977,0.0
NC-06,Lean D,1.7043399516252438,154709.95,3376265.5535490513,39339658.545590565
NC-07,Safe R,0.06145740902614961,151923.5,3486163.522601198,0.0
NC-08,Safe R,0.002288213465857332,248282.83,1.1641532182693481e-10,0.0
NC-09,Likely R,0.053178462939191797,1697654.74,4141868.1525511434,0.0
NC-10,Safe R,4.534796638116413e-06,29455.56,0.0,0.0
NC-11,Safe R,0.09608405664920895,575614.32,1998099.761471436,0.0
NC-12,Safe D,4.90409315327266e-05,442512.64,0.0,0.0
NC-13,Toss-Up,0.18402545770798068,1277986.16,1731872.4397570856,0.0
NC-14,Lean D,2.8888218269121535,78435.15,3311441.9602950485,59009487.8183864
ND-00,Safe R,3.6611142835275236e-05,82463.4,0.0,0.0
NE-01,Safe R,0.048736370863336397,162012.27,2884873.4956535767,0.0
NE-02,Toss-Up,0.10589832718547351,1294016.03,4002321.7838405576,0.0
NE-03,Safe R,1.2132693500756243e-09,30937.22,0.0,0.0
NH-01,Lean D,0.00023939086923037455,6044770.26,0.0,0.0
NH-02,Lean D,0.035402225689913976,984208.3,394385.29731597076,0.0
NJ-01,Safe D,6.699260439018385e-07,965685.18,0.0,0.0
NJ-02,Likely R,0.17253984175980458,585191.21,4408090.836605496,0.0
NJ-03,Likely D,0.00046146673547893996,895740.35,0.0,0.0
NJ-04,Safe R,0.0004094119705092836,17715.39,5.4569682106375694e-11,0.0
NJ-05,Likely D,2.895939660371205e-06,12628177.86,0.0,0.0
NJ-06,Safe D,1.1810722137389777e-06,1755602.55,0.0,0.0
NJ-07,Lean R,0.043892053822330516,2469069.53,3195530.8878587536,0.0
NJ-08,Safe D,0.0,1078528.01,0.0,0.0
NJ-09,Safe D,0.0045580749186532295,970111.94,0.0,0.0
NJ-10,Safe D,8.886665732778612e-10,1373520.74,0.0,0.0
NJ-11,Lean D,0.03991580440380193,1497715.96,1429033.3772362936,0.0
NJ-12,Safe D,0.006152213794543586,718239.47,2.3283064365386963e-10,0.0
NM-01,Lean D,0.006358319736567572,1053651.63,2.3283064365386963e-10,0.0
NM-02,Lean D,0.007655153490096053,1239653.96,2.3283064365386963e-10,0.0
NM-03,Likely D,0.00023533435867333565,2067025.86,0.0,0.0
NV-01,Likely D,2.4880657920542824,311402.4,1691943.29908151,59009487.8183864
NV-02,Likely R,0.0824565587655097,836054.59,4245317.559479721,0.0
NV-03,Lean D,0.03703087382514557,1965602.58,785051.0160351214,0.0
NV-04,Likely D,0.004086274636846688,1703392.14,2.3283064365386963e-10,0.0
NY-01,Likely R,0.2631959571068909,434125.46,4650259.008326389,0.0
NY-02,Likely R,0.20654789381231134,345251.95,5719301.433468804,0.0
NY-03,Lean D,0.008777868753946056,1535358.87,0.0,0.0
NY-04,Lean D,0.013775076508273837,1188925.83,168485.05102782464,0.0
NY-05,Safe D,0.0,1854341.85,0.0,0.0
NY-06,Safe D,1.893707911163225e-08,1626255.13,0.0,0.0
NY-07,Safe D,0.0,928623.07,0.0,0.0
NY-08,Safe D,0.0,14002284.76,0.0,0.0
NY-09,Safe D,5.3515872678283e-08,940581.9,0.0,0.0
NY-10,Safe D,0.0,7192469.79,0.0,0.0
NY-11,Likely R,0.09155263481525157,127187.81,4968685.065360356,0.0
NY-12,Safe D,1.2512374626312152e-06,5734432.04,0.0,0.0
NY-13,Safe D,0.0,1537250.19,0.0,0.0
NY-14,Safe D,1.8297721046677583e-08,18890836.7,0.0,0.0
NY-15,Safe D,0.0,3543208.41,0.0,0.0
NY-16,Safe D,3.4270083548286117e-07,587833.32,0.0,0.0
NY-17,Toss-Up,0.004927019249681975,11707132.24,0.0,0.0
NY-18,Lean D,2.6061064542517926e-05,1684536.86,0.0,0.0
NY-19,Lean D,0.03948671987024702,1484272.23,782872.5393437454,0.0
NY-20,Likely D,2.5555817231034203e-05,1043496.79,0.0,0.0
NY-21,Likely R,0.0193820054508313,2977474.92,3604473.043261694,0.0
NY-22,Lean D,0.0005117619610877879,904629.37,1.1641532182693481e-10,0.0
NY-23,Safe R,0.01218045323917333,172146.79,1616723.8355819045,0.0
NY-24,Safe R,0.003931063011467256,164356.16,1942987.3718763094,0.0
NY-25,Likely D,3.3980037032045036e-05,1558741.71,0.0,0.0
NY-26,Safe D,0.0,1368396.48,0.0,0.0
OH-01,Lean D,0.1565550263494772,885776.12,955232.333531367,0.0
OH-02,Safe R,4.6215442283283634e-08,983.0,6.366462912410498e-12,0.0
OH-03,Safe D,0.0,926537.63,0.0,0.0
OH-04,Safe R,6.080618948383352e-19,1162.43,1.3642420526593924e-11,0.0
OH-05,Safe R,5.686529437373407e-07,7551.26,0.0,0.0
OH-06,Safe R,9.053188300919855e-05,19776.81,1.8189894035458565e-11,0.0
OH-07,Likely R,0.17064812335640178,237600.08,3416236.3758955225,0.0
OH-08,Safe R,0.002384118739318874,32422.95,1062250.7169204955,0.0
OH-09,Toss-Up,0.5638897679041283,741277.12,1861698.8610317786,0.0
OH-10,Likely R,0.4372563263376631,112084.08,3934375.88660651,0.0
OH-11,Safe D,2.8797230134166925e-07,692383.49,0.0,0.0
OH-12,Safe R,0.03235098300926016,513420.7,1111073.7523969517,0.0
OH-13,Lean D,0.0003588239733414395,1065271.87,0.0,0.0
OH-14,Safe R,0.0005088403273217562,13979.43,3248027.868592611,0.0
OH-15,Likely R,0.126274157554053,513420.7,4306226.967777251,0.0
OK-01,Safe R,0.0009964421528339334,83758.19,7.275957614183426e-11,0.0
OK-02,Safe R,1.4025868796231208e-07,72224.11,1.4551915228366852e-11,0.0
OK-03,Safe R,7.124463425194469e-18,434.18,3.751665644813329e-12,0.0
OK-04,Safe R,3.086562177618368e-07,57740.75,7.275957614183426e-12,0.0
OK-05,Safe R,0.021520761789729958,401844.65,1291982.4470572732,0.0
OR-01,Safe D,1.1740621111203608e-07,640487.85,0.0,0.0
OR-02,Safe R,0.003158277562510721,61831.72,579723.7097582987,0.0
OR-03,Safe D,7.610873594351515e-08,750310.65,0.0,0.0
OR-04,Likely D,0.021833072215999314,643275.76,140609.32325994573,0.0
OR-05,Lean D,0.017769690203189043,934060.57,219076.3311854828,0.0
OR-06,Likely D,0.00044140842229955547,831873.52,0.0,0.0
PA-01,Toss-Up,0.20880290256450262,869693.58,7373387.546982579,0.0
PA-02,Safe D,8.02813680336555e-08,688759.9,0.0,0.0
PA-03,Safe D,1.5081931169431564e-08,904524.23,0.0,0.0
PA-04,Likely D,1.794167931759477e-07,922768.92,0.0,0.0
PA-05,Safe D,2.4900440830034845e-06,756595.96,0.0,0.0
PA-06,Likely D,0.0019715500095986204,899191.62,1.1641532182693481e-10,0.0
PA-07,Lean R,0.0919832538696615,1419749.01,4314050.838197732,0.0
PA-08,Likely R,0.10376876086197881,852243.1,6061712.449069135,0.0
PA-09,Safe R,5.218769657729228e-05,227037.55,2.9103830456733704e-11,0.0
PA-10,Likely R,0.06787068926972813,1357722.71,5051294.978936855,0.0
PA-11,Safe R,0.0029504955811047225,138212.91,5.820766091346741e-11,0.0
PA-12,Likely D,5.075283943531113e-05,668865.18,0.0,0.0
PA-13,Safe R,5.725449712585175e-09,21011.0,1.4551915228366852e-11,0.0
PA-14,Safe R,1.3766876192917291e-06,87623.63,0.0,0.0
PA-15,Safe R,7.36241583731395e-09,16132.92,0.0,0.0
PA-16,Safe R,0.001172884209081152,34234.04,1606983.4218834867,0.0
PA-17,Lean D,3.187460901347009e-05,1785870.76,0.0,0.0
RI-01,Safe D,4.4071962056968486e-07,540891.99,0.0,0.0
RI-02,Likely D,0.40452730672801823,419690.89,669113.9608017938,0.0
SC-01,Likely R,0.05594813068094128,1353669.9,2685391.5847762288,0.0
SC-02,Safe R,0.013179252811346862,27781.68,2801259.3802047404,0.0
SC-03,Safe R,9.749865707665387e-06,15254.45,0.0,0.0
SC-04,Safe R,0.0002166101441593753,20040.45,4.3655745685100555e-11,0.0
SC-05,Safe R,0.09609330565665411,54705.66,2620167.6523987493,0.0
SC-06,Safe D,1.3803562455344646e-06,1282168.97,0.0,0.0
SC-07,Safe R,0.015445810633673826,208270.56,2222674.008189327,0.0
SD-00,Safe R,0.000431862515692171,110642.3,1.4551915228366852e-11,0.0
TN-01,Safe R,1.0011406255855993e-08,26239.9,1.0913936421275139e-11,0.0
TN-02,Safe R,0.000522359668324891,159963.2,2.9103830456733704e-11,0.0
TN-03,Safe R,3.257740081076196e-08,4437.51,2.546585164964199e-11,0.0
TN-04,Safe R,0.0013610533643462173,383404.32,1.1641532182693481e-10,0.0
TN-05,Safe R,0.0827986252159439,551473.2,1849944.1405874828,0.0
TN-06,Safe R,1.6424981067996894e-10,48171.62,0.0,0.0
TN-07,Safe R,0.03382887285478765,515007.67,4806310.658318909,0.0
TN-08,Safe R,2.358203192956018e-13,1427.91,0.0,0.0
TN-09,Safe D,5.406883056665026e-06,718433.61,0.0,0.0
TX-01,Safe R,2.3676105859663313e-09,18837.51,0.0,0.0
TX-02,Safe R,0.0014281073922541808,1017792.86,0.0,0.0
TX-03,Safe R,0.03149069413625063,623966.87,992228.4701140319,0.0
TX-04,Safe R,2.9288978916145937e-05,10905.87,0.0,0.0
TX-05,Safe R,0.0001289058739817265,16988.71,0.0,0.0
TX-06,Safe R,2.572835775027058e-08,15751.88,9.094947017729282e-12,0.0
TX-07,Safe D,0.0027128648271066984,795424.58,1.1641532182693481e-10,0.0
TX-08,Safe R,5.383063066776048e-06,11564.53,0.0,0.0
TX-09,Safe D,0.007558349353897308,421710.44,2.3283064365386963e-10,0.0
TX-10,Safe R,0.00127889375073161,188133.75,2.9103830456733704e-11,0.0
TX-11,Safe R,4.789913782377108e-09,31164.86,0.0,0.0
TX-12,Safe R,4.8713075150525064e-05,10556.15,1.2732925824820995e-11,0.0
TX-13,Safe R,9.33941907739601e-09,44604.58,0.0,0.0
TX-14,Safe R,0.00014620128044677287,26019.1,0.0,0.0
TX-15,Toss-Up,0.17238304947189204,1259300.94,6335376.3773858175,0.0
TX-16,Safe D,2.248554887397338e-06,557794.53,0.0,0.0
TX-17,Safe R,0.0003933944643661372,19017.76,4.729372449219227e-11,0.0
TX-18,Safe D,1.681717772098022e-07,3145794.38,0.0,0.0
TX-19,Safe R,6.53696758041943e-07,12557.01,0.0,0.0
TX-20,Safe D,7.497407393384367e-05,365689.34,0.0,0.0
TX-21,Safe R,0.0019215228499897892,106142.91,1.0186340659856796e-10,0.0
TX-22,Safe R,0.07753629985253144,40531.26,2432832.2115527396,0.0
TX-23,Lean R,0.041517591331777334,98534.36,7592837.572571509,0.0
TX-24,Safe R,0.010940409824617437,186600.33,2378908.0250320383,0.0
TX-25,Safe R,0.00015926408488484584,79054.94,1.4551915228366852e-11,0.0
