district_id,state,district,cook_rating,incumb_status,pvi,d_total,r_total,ratio,mu_hat,sigma_i,p_win,msg_i_per_1m,recommended_share,observed_share,difference,outcome,redistricting_flagged
NC-09,NC,9,Likely R,Challenger,-5.841307578312968,131660.73,1926757.68,0.0639620833939199,-19.672,11.365,0.0417,0.315993,0.000275,0.000111,0.000164,R,False
CA-31,CA,31,Safe D,Incumbent,16.10022520246681,240026.76,136450.82,0.6375592405794789,35.065,21.967,0.9448,0.298069,0.000322,0.000203,0.000119,D,False
FL-17,FL,17,Safe R,Challenger,-9.993020786991144,98602.08,1001899.01,0.0895974396536036,-22.426,11.653,0.0271,0.296587,0.000154,8.3e-05,7.1e-05,R,False
WI-06,WI,6,Safe R,Challenger,-10.259029707645526,43097.91,989439.38,0.04173980970701795,-27.306,11.672,0.0097,0.295321,4.6e-05,3.6e-05,9e-06,R,False
FL-08,FL,8,Safe R,Challenger,-11.553985107654771,89159.95,777894.1,0.10283090194896155,-23.339,11.763,0.0236,0.290619,0.000129,7.5e-05,5.4e-05,R,False
FL-07,FL,7,Lean R,Incumbent,-5.117554716684672,1690268.65,3117367.37,0.35157999544233387,-7.149,20.561,0.364,0.266447,0.003777,0.001427,0.00235,R,False
ME-01,ME,1,Safe D,Incumbent,8.0535576548473,618994.81,445248.08,0.5816292651013153,24.26,20.928,0.8768,0.251696,0.00104,0.000523,0.000518,D,False
GA-11,GA,11,Safe R,Challenger,-12.045124653017183,102104.07,898241.73,0.10206877461773718,-23.931,11.798,0.0213,0.233109,0.000137,8.6e-05,5.1e-05,R,False
WI-07,WI,7,Safe R,Challenger,-12.13181484837636,95603.59,964317.83,0.09019875265847538,-24.787,11.804,0.0179,0.217794,0.000118,8.1e-05,3.8e-05,R,False
UT-02,UT,2,Safe R,Challenger,-11.340716989963664,123710.89,1076604.68,0.10306530473482071,-23.088,11.748,0.0247,0.217032,0.000176,0.000104,7.1e-05,R,False
VA-01,VA,1,Likely R,Challenger,-6.880373957461114,267388.97,1842095.28,0.12675561336852834,-16.938,11.437,0.0693,0.215703,0.000745,0.000226,0.00052,R,False
MI-05,MI,5,Safe R,Challenger,-14.539167945315114,176348.37,247292.44,0.41626860736103305,-17.843,11.977,0.0681,0.200419,0.000526,0.000149,0.000377,R,False
TX-32,TX,32,Safe D,Incumbent,13.571719379477386,1642119.5,2386122.49,0.407651651533477,15.48,21.635,0.7628,0.199108,0.002805,0.001387,0.001419,D,False
TN-05,TN,5,Likely R,Incumbent,-9.101000979194431,1588328.2,2337835.68,0.404549644015369,-6.142,21.06,0.3853,0.198398,0.00333,0.001341,0.001989,R,False
FL-26,FL,26,Likely R,Challenger,-5.3717735987451976,165002.81,1577235.65,0.09470736284859652,-17.205,11.333,0.0645,0.194416,0.000364,0.000139,0.000224,R,False
AL-02,AL,2,Safe R,Challenger,-17.48894147961364,60219.66,430418.03,0.12273753367785503,-28.784,12.192,0.0091,0.192188,6.2e-05,5.1e-05,1.1e-05,R,True
NC-07,NC,7,Safe R,Challenger,-8.254535703796442,337004.98,1308427.75,0.20481237175827904,-15.64,11.532,0.0875,0.190238,0.001095,0.000285,0.00081,R,True
MD-03,MD,3,Safe D,Incumbent,8.507214711156301,740295.6,500292.9,0.5967293748088105,25.649,20.985,0.8892,0.187849,0.001134,0.000625,0.000509,D,False
OR-02,OR,2,Safe R,Challenger,-15.622567897681755,100291.79,601566.9,0.1428945618668624,-25.759,12.055,0.0163,0.184728,0.000119,8.5e-05,3.4e-05,R,False
OH-07,OH,7,Likely R,Open,-7.0155130829773595,276778.53,3095230.79,0.0820811877234076,-23.469,14.485,0.0526,0.179578,0.000498,0.000234,0.000264,R,False
IN-02,IN,2,Safe R,Open,-14.123373420505617,102330.9,1379780.33,0.06904400825570965,-32.856,15.118,0.0149,0.177542,0.000109,8.6e-05,2.3e-05,R,False
TN-04,TN,4,Safe R,Challenger,-22.05113294578421,11231.07,161447.05,0.06504049268083299,-38.175,12.531,0.0012,0.17635,1e-05,9e-06,0.0,R,False
PA-04,PA,4,Likely D,Incumbent,6.7213071147185115,1943740.76,2501412.93,0.43727189104230946,12.176,20.76,0.7212,0.17432,0.003506,0.001641,0.001865,D,False
WI-05,WI,5,Safe R,Challenger,-14.692106941889419,105047.2,800385.52,0.11601878050088581,-26.066,11.988,0.0148,0.166798,0.000119,8.9e-05,3.1e-05,R,False
NJ-02,NJ,2,Likely R,Challenger,-4.761067754946824,487797.86000000004,2831986.87,0.14693659368690454,-13.789,11.292,0.111,0.163493,0.001723,0.000412,0.001311,R,False
OH-14,OH,14,Safe R,Challenger,-9.040584982726719,377031.05,1442817.28,0.2071771827270902,-16.406,11.586,0.0784,0.156108,0.001046,0.000318,0.000728,R,False
OK-05,OK,5,Safe R,Incumbent,-12.644828798930217,1982503.78,4707427.93,0.2963414076464467,-21.421,21.515,0.1597,0.154744,0.00283,0.001674,0.001157,R,False
KY-06,KY,6,Safe R,Challenger,-9.185896454494886,239130.65,2172137.98,0.09917213164258683,-20.919,11.597,0.0356,0.150691,0.000383,0.000202,0.000181,R,False
FL-03,FL,3,Safe R,Challenger,-9.079725707420678,71456.54,2481356.42,0.027991294748049223,-28.275,11.589,0.0073,0.141073,6.9e-05,6e-05,9e-06,R,False
SC-05,SC,5,Safe R,Challenger,-11.5696148738559,15660.88,1086941.49,0.014203560980918262,-35.427,11.764,0.0013,0.13974,1.4e-05,1.3e-05,0.0,R,False
CA-05,CA,5,Safe R,Challenger,-8.888000805717656,462048.75,1707260.0,0.21299353999286638,-16.081,11.576,0.0824,0.131831,0.001241,0.00039,0.000851,R,False
FL-16,FL,16,Likely R,Challenger,-7.226442069336062,47591.0,3416468.96,0.013738503533293344,-30.136,11.461,0.0043,0.131161,4.4e-05,4e-05,3e-06,R,False
PA-10,PA,10,Likely R,Challenger,-5.326025754717467,436272.94999999995,3678453.29,0.10602721166694189,-16.252,11.33,0.0757,0.130702,0.001041,0.000368,0.000673,R,False
WI-01,WI,1,Lean R,Challenger,-2.905236133876948,814276.45,2493791.27,0.24614866409083064,-8.967,11.166,0.211,0.130377,0.003314,0.000688,0.002626,R,False
FL-25,FL,25,Safe D,Incumbent,10.651298537769655,1920982.4,2052369.94,0.48346641214305197,19.489,21.258,0.8204,0.127437,0.002854,0.001622,0.001232,D,False
FL-05,FL,5,Safe R,Challenger,-11.450101278446976,4158.79,697202.4199999999,0.005929597959944207,-40.594,11.756,0.0003,0.127179,4e-06,4e-06,0.0,R,False
NY-23,NY,23,Safe R,Open,-12.452534835467782,313783.75,2084610.5,0.1308307631241194,-26.014,14.967,0.0411,0.125818,0.000461,0.000265,0.000196,R,False
AR-02,AR,2,Safe R,Challenger,-9.052831282224066,129574.4,2941944.3800000004,0.042185774947467516,-25.819,11.587,0.0129,0.125572,0.000138,0.000109,2.9e-05,R,False
VA-06,VA,6,Safe R,Challenger,-13.950633267870007,154297.27,964685.04,0.13789071428662708,-24.179,11.934,0.0214,0.12389,0.000189,0.00013,5.8e-05,R,False
SC-04,SC,4,Safe R,Open,-12.715665017842142,23211.0,1704453.21,0.013434902376081519,-43.912,14.991,0.0017,0.119914,2e-05,2e-05,0.0,R,False
KS-01,KS,1,Safe R,Challenger,-18.35642947387447,17313.35,418164.24,0.03975715489745408,-37.19,12.255,0.0012,0.119463,1.5e-05,1.5e-05,0.0,R,False
FL-15,FL,15,Likely R,Challenger,-3.487792213850338,856713.15,1881157.82,0.3129121713139023,-8.26,11.205,0.2305,0.119366,0.003294,0.000723,0.00257,R,False
FL-22,FL,22,Likely D,Incumbent,7.92701110812219,1823905.35,1630217.92,0.5280371334286516,20.449,20.912,0.8359,0.11657,0.002678,0.00154,0.001138,D,False
TX-05,TX,5,Safe R,Challenger,-14.83951783996549,214285.69,1021285.68,0.17343044295369192,-23.678,11.999,0.0242,0.116092,0.000278,0.000181,9.7e-05,R,False
MI-06,MI,6,Safe D,Incumbent,10.536606251083619,1605204.08,1409450.88,0.5324669327995002,23.098,21.243,0.8616,0.114963,0.00224,0.001355,0.000885,D,False
TX-23,TX,23,Likely R,Challenger,-4.585290023430264,674874.7,4645574.08,0.12684544629710728,-14.417,11.28,0.1006,0.112585,0.001897,0.00057,0.001327,R,False
FL-18,FL,18,Safe R,Challenger,-12.982997177715792,8123.24,784623.66,0.010246952715929888,-39.237,11.865,0.0005,0.107269,7e-06,7e-06,0.0,R,False
MN-08,MN,8,Safe R,Challenger,-8.04388507656337,655341.61,2053768.49,0.2419029075267188,-14.446,11.517,0.1049,0.106383,0.001848,0.000553,0.001295,R,False
TX-31,TX,31,Safe R,Challenger,-14.829107583854608,270845.59,1128750.23,0.1935170040733617,-22.972,11.998,0.0278,0.100454,0.000364,0.000229,0.000135,R,False
AR-03,AR,3,Safe R,Challenger,-15.476863151334888,65741.89,1083110.59,0.05722396142627468,-31.451,12.045,0.0045,0.100419,6e-05,5.6e-05,4e-06,R,False
CO-04,CO,4,Safe R,Challenger,-13.921511275641516,283617.12,1369818.69,0.17153198103287723,-22.762,11.932,0.0282,0.099346,0.00038,0.000239,0.000141,R,False
FL-21,FL,21,Likely R,Challenger,-6.707063416602949,80338.81,5244192.09,0.015088429668048317,-28.942,11.425,0.0057,0.09911,7.5e-05,6.8e-05,7e-06,R,False
TX-03,TX,3,Safe R,Open,-12.263087849046576,447510.02,2729874.13,0.1408422774438527,-25.238,14.95,0.0457,0.094915,0.000652,0.000378,0.000274,R,False
OH-15,OH,15,Likely R,Open,-6.124369085418522,978556.95,2385182.77,0.2909133974254108,-13.304,14.407,0.1779,0.094824,0.002858,0.000826,0.002031,R,False
VA-05,VA,5,Likely R,Challenger,-6.758397945939892,865112.15,1208650.69,0.4171702440188388,-9.975,11.428,0.1914,0.09193,0.002726,0.00073,0.001996,R,False
PA-11,PA,11,Safe R,Challenger,-13.771108373802177,321367.47,1377468.04,0.18916926807116244,-21.99,11.922,0.0326,0.091009,0.000449,0.000271,0.000178,R,False
FL-24,FL,24,Safe D,Incumbent,26.86007770418651,481715.83,290462.12,0.6238404372981643,43.954,23.439,0.9696,0.088482,0.000482,0.000407,7.5e-05,D,False
NC-03,NC,3,Safe R,Challenger,-14.845244174580227,94963.02,1446223.8,0.061616812944195826,-30.251,11.999,0.0058,0.086863,8.8e-05,8e-05,8e-06,R,False
GA-08,GA,8,Safe R,Challenger,-16.510851096950546,24160.05,767855.97,0.030504496613591222,-36.718,12.12,0.0012,0.086859,2.1e-05,2e-05,0.0,R,False
TX-20,TX,20,Safe D,Incumbent,15.203957520397655,635083.93,293608.29,0.6838475830022568,36.971,21.849,0.9547,0.084229,0.000704,0.000536,0.000168,D,False
PA-01,PA,1,Toss-Up,Challenger,-0.3294379916098378,1256146.76,3380066.15,0.27094242313388495,-5.834,10.994,0.2978,0.083999,0.004083,0.001061,0.003023,R,False
TX-14,TX,14,Safe R,Challenger,-16.3040863161223,56467.59,1066150.61,0.05029990605888982,-33.24,12.105,0.003,0.082455,5e-05,4.8e-05,2e-06,R,False
CA-01,CA,1,Safe R,Challenger,-12.4413722392534,611213.96,685660.72,0.47129762761657124,-14.944,11.826,0.1032,0.080942,0.001552,0.000516,0.001036,R,False
GA-10,GA,10,Safe R,Challenger,-15.057241628373404,48652.44,1270786.22,0.03687358986434428,-33.761,12.014,0.0025,0.080654,4.3e-05,4.1e-05,2e-06,R,False
MI-10,MI,10,Likely R,Challenger,-3.3435538497304127,1075148.89,7094441.23,0.13160377377659674,-12.855,11.196,0.1254,0.079755,0.002883,0.000908,0.001975,R,False
NC-08,NC,8,Safe R,Challenger,-19.6845056221601,131676.06,704787.91,0.15741988265196885,-29.527,12.354,0.0084,0.079714,0.000127,0.000111,1.6e-05,R,False
NY-20,NY,20,Likely D,Incumbent,6.380110330079763,1863434.65,1230184.37,0.602347812692204,24.089,20.718,0.8775,0.079685,0.00245,0.001573,0.000877,D,False
OH-05,OH,5,Safe R,Challenger,-15.071640600961539,54692.3,1355637.62,0.03877979132712436,-33.457,12.015,0.0027,0.076907,4.8e-05,4.6e-05,2e-06,R,False
TX-04,TX,4,Safe R,Challenger,-17.269135073146472,44567.22,914114.62,0.0464880194246717,-34.881,12.175,0.0021,0.075569,3.9e-05,3.8e-05,1e-06,R,False
OH-06,OH,6,Safe R,Challenger,-15.378152225349016,132597.38,1580549.63,0.07739988408817293,-29.408,12.038,0.0073,0.074475,0.000124,0.000112,1.3e-05,R,False
TX-36,TX,36,Safe R,Challenger,-18.290803523740188,77619.44,914820.21,0.07821074057248721,-32.643,12.251,0.0039,0.073388,6.9e-05,6.6e-05,4e-06,R,False
MT-02,MT,2,Safe R,Challenger,-16.562420619068124,175463.67,1329704.01,0.11657416800233182,-28.099,12.124,0.0102,0.073118,0.000172,0.000148,2.4e-05,R,False
OK-01,OK,1,Safe R,Challenger,-14.538246122325646,32748.96,1307138.94,0.0244415670893065,-35.743,11.977,0.0014,0.073027,2.8e-05,2.8e-05,1e-06,R,False
ID-01,ID,1,Safe R,Challenger,-22.463689738740225,67139.54,470475.85,0.1248839621202064,-34.133,12.563,0.0033,0.071471,5.9e-05,5.7e-05,3e-06,R,False
MS-03,MS,3,Safe R,Challenger,-14.883227445186996,76889.38,1610880.15,0.04555680063734769,-32.211,12.002,0.0036,0.071449,6.8e-05,6.5e-05,3e-06,R,False
CA-06,CA,6,Likely D,Incumbent,7.578196341651678,1839780.62,1157631.44,0.6137896902970358,25.889,20.868,0.8926,0.071038,0.002303,0.001553,0.00075,D,False
MO-02,MO,2,Likely R,Challenger,-7.986075858271152,907770.41,3785001.8,0.19344011798944744,-15.688,11.513,0.0865,0.070652,0.001929,0.000766,0.001162,R,False
CA-36,CA,36,Safe D,Incumbent,21.379065236746058,2660136.42,3154121.76,0.45751948703454376,26.823,22.677,0.8816,0.069974,0.003085,0.002246,0.000839,D,False
MI-01,MI,1,Safe R,Challenger,-12.864139449304293,578256.86,1972974.36,0.2266579585052271,-19.901,11.857,0.0466,0.068158,0.000903,0.000488,0.000414,R,False
WA-05,WA,5,Safe R,Challenger,-8.078962030869253,377499.11,6523600.65,0.05470129734800413,-23.155,11.52,0.0222,0.067096,0.000432,0.000319,0.000114,R,False
NJ-04,NJ,4,Safe R,Challenger,-14.584596480441704,39233.34,1460852.63,0.026154061023582535,-35.371,11.98,0.0016,0.066905,3.4e-05,3.3e-05,1e-06,R,False
LA-05,LA,5,Safe R,Open,-16.599572159228913,56574.7,2062471.29,0.026698193558319133,-43.316,15.346,0.0024,0.066867,4.9e-05,4.8e-05,1e-06,R,False
TX-12,TX,12,Safe R,Challenger,-13.051453656022414,49483.33,2034933.82,0.023739648275298446,-34.108,11.87,0.002,0.066324,4.3e-05,4.2e-05,1e-06,R,False
AZ-09,AZ,9,Safe R,Incumbent,-15.971098802177186,2431277.1,854965.64,0.7398349094565059,10.678,21.95,0.6867,0.063917,0.004258,0.002053,0.002205,R,False
CA-23,CA,23,Safe R,Challenger,-8.137760237717675,992449.43,759890.45,0.5663566990211968,-9.58,11.524,0.2029,0.061221,0.002467,0.000838,0.001629,R,False
TX-38,TX,38,Safe R,Open,-13.297156737747152,279107.58,4488382.42,0.05854392562962901,-33.195,15.043,0.0137,0.060998,0.000272,0.000236,3.6e-05,R,False
CA-52,CA,52,Safe D,Incumbent,20.016199703055122,793081.82,402271.98,0.6634703633351063,40.174,22.492,0.963,0.059786,0.000805,0.00067,0.000135,D,False
TN-03,TN,3,Safe R,Challenger,-19.071192130050548,68549.71,924871.13,0.06900369635893687,-34.362,12.308,0.0026,0.059573,6e-05,5.8e-05,2e-06,R,False
WA-04,WA,4,Safe R,Challenger,-11.858442573624501,752778.95,2548413.22,0.228032453499973,-18.805,11.785,0.0553,0.059472,0.001219,0.000636,0.000584,R,False
AR-01,AR,1,Safe R,Challenger,-21.391296630854292,64098.32,647616.25,0.09006183476052768,-35.191,12.482,0.0024,0.05831,5.6e-05,5.4e-05,2e-06,R,False
TX-24,TX,24,Safe R,Challenger,-11.114874528587615,377014.05,2751027.97,0.1205271692609807,-21.956,11.732,0.0306,0.057619,0.000453,0.000318,0.000135,R,False
PA-16,PA,16,Safe R,Challenger,-12.68595112222987,860292.72,1380130.44,0.38398671079618724,-16.454,11.844,0.0824,0.056802,0.001692,0.000726,0.000965,R,False
IL-16,IL,16,Safe R,Open,-13.631151449570353,38117.98,3056438.67,0.012317751559015733,-45.749,15.074,0.0012,0.053507,3.3e-05,3.2e-05,0.0,R,False
FL-27,FL,27,Toss-Up,Challenger,2.7019707357899074,2363881.7399999998,7187714.029999999,0.2474855298446115,-3.679,11.152,0.3708,0.05345,0.006047,0.001996,0.004051,R,False
IN-05,IN,5,Safe R,Challenger,-12.021418015673689,50966.44,2846604.19,0.017589369340066788,-34.686,11.796,0.0016,0.053005,4.4e-05,4.3e-05,1e-06,R,False
OH-12,OH,12,Safe R,Challenger,-17.225752396313208,328447.11,1558778.66,0.17403699929341257,-26.216,12.172,0.0156,0.052888,0.000339,0.000277,6.2e-05,R,False
KS-02,KS,2,Safe R,Challenger,-10.919753167294175,1106479.19,1214488.8099999998,0.47673177312224896,-13.357,11.718,0.1272,0.050854,0.002368,0.000934,0.001434,R,False
NC-12,NC,12,Safe D,Incumbent,12.402821989006103,763481.97,260528.26,0.7455804128050556,37.751,21.483,0.9606,0.049746,0.000806,0.000645,0.000162,D,False
IN-08,IN,8,Safe R,Challenger,-19.049853045606127,137353.27,1249043.48,0.0990721234740344,-31.927,12.307,0.0047,0.04896,0.000123,0.000116,7e-06,R,False
KY-04,KY,4,Safe R,Challenger,-19.686205100289342,300120.66000000003,996631.31,0.231440296173215,-26.944,12.354,0.0146,0.04837,0.000305,0.000253,5.1e-05,R,False
CA-48,CA,48,Safe R,Challenger,-10.09708544488959,1293547.75,2013252.8099999998,0.39117803645224986,-13.721,11.66,0.1197,0.047975,0.002649,0.001092,0.001557,R,False
KS-04,KS,4,Safe R,Challenger,-14.574908575782132,36304.68,1773951.99,0.020054990323554504,-37.039,11.979,0.001,0.047743,3.1e-05,3.1e-05,0.0,R,False
GA-01,GA,1,Safe R,Challenger,-9.338075294766407,1391152.16,2015646.01,0.4083459279303299,-12.698,11.607,0.137,0.047633,0.002936,0.001175,0.001761,R,False
AZ-05,AZ,5,Safe R,Challenger,-11.63027765524259,25005.84,2531589.72,0.009780913489500076,-37.779,11.769,0.0007,0.04738,2.1e-05,2.1e-05,0.0,R,False
TX-10,TX,10,Safe R,Challenger,-13.4287872760659,54575.27,2527483.39,0.0211363401015839,-35.294,11.897,0.0015,0.046039,4.7e-05,4.6e-05,1e-06,R,False
FL-09,FL,9,Safe D,Incumbent,9.587847940804794,1449787.4,630944.54,0.6967679844430128,32.569,21.122,0.9385,0.045489,0.001579,0.001224,0.000355,D,False
TX-21,TX,21,Safe R,Challenger,-14.049205651119959,233830.93,1579344.77,0.12896209120825963,-24.826,11.942,0.0188,0.045002,0.00024,0.000197,4.3e-05,R,False
