district_id,state,district,cook_rating,incumb_status,pvi,d_total_22,r_total_22,d_total,r_total,mu_22,mu_hat,sigma_i,p_win_22,p_win,msg_22,msg_i_per_1m,rec_share_22,obs_share_24,diff_22,outcome,redistricting_flagged
AZ-01,AZ,1,Lean R,Challenger,-2.448492787482301,2586581.0000000005,723517.86,23182445.12,1753393.57,-5.744058028055557,-4.99,5.994,0.1689665691136549,0.2026,5.51248750714653e-08,0.00819,0.0,0.0309,-0.0309,R,False
SC-01,SC,1,Likely R,Challenger,-7.794760907709938,2030313.47,4198136.16,991604.43,1181000.83,-16.214241799087734,-14.759,6.31,0.0050921206537305,0.0097,1.6167428950522835e-09,0.008163,0.0,0.001322,-0.001322,R,False
CO-05,CO,5,Safe R,Open,-10.35789116985529,38398.07,347860.39,167088.43,733287.34,-21.84657097447343,-21.847,8.467,0.0049389986548735,0.0049,8.097102024826166e-09,0.008097,0.0,0.000223,-0.000223,R,False
NY-25,NY,25,Likely D,Incumbent,6.997501041410814,962325.4,502637.2,507094.16,37150.21,26.386162792130587,34.355,10.57,0.993725616166401,0.9994,2.6044069213753933e-08,0.008036,0.0,0.000676,-0.000676,D,False
NV-04,NV,4,Likely D,Incumbent,3.217223200349606,7656706.31,1991191.77,2839413.7,595400.55,25.960802261565924,26.891,10.193,0.9945663042719864,0.9958,3.611301757220283e-09,0.008006,0.0,0.003785,-0.003785,D,False
WI-03,WI,3,Likely R,Challenger,-4.072955843970282,3185166.15,5612154.53,5883499.69,5011673.47,-11.1113576469209,-9.379,6.089,0.0340040883312841,0.0617,6.106362829589269e-09,0.007959,0.0,0.007842,-0.007842,R,False
CA-38,CA,38,Safe D,Incumbent,15.524643438248566,452872.75,230347.89,391955.37,216460.79,36.62966395850356,36.63,11.473,0.9992955513488871,0.9993,7.958589505732762e-09,0.007959,0.0,0.000522,-0.000522,D,False
PA-07,PA,7,Toss-Up,Incumbent,-2.2695414278169013,7461211.25,2524699.94,9144295.17,886645.14,17.714834777913417,22.252,10.101,0.960271504549248,0.9862,1.9381332282778118e-08,0.007933,0.0,0.012188,-0.012188,R,False
UT-02,UT,2,Safe R,Open,-11.340716989963664,114211.91,812589.6100000001,318156.81,857462.82,-21.444991333341157,-21.445,8.548,0.0060564113456024,0.0061,7.358841284010853e-09,0.007359,0.0,0.000424,-0.000424,R,False
PA-10,PA,10,Likely R,Challenger,-5.326025754717467,599438.1,2652142.84,6675074.63,3601588.21,-15.59970952890831,-10.145,6.162,0.0056793482206872,0.0498,3.500197130928259e-09,0.007036,0.0,0.008897,-0.008897,R,False
NJ-02,NJ,2,Likely R,Challenger,-4.761067754946824,561196.59,2146434.47,912368.05,2675941.97,-14.387600514589222,-13.502,6.129,0.0094505114192326,0.0138,6.622877696754211e-09,0.006942,0.0,0.001216,-0.001216,R,False
OH-15,OH,15,Likely R,Challenger,-6.124369085418522,822580.8,4082854.93,204639.99,918127.39,-17.00546900923699,-16.645,6.21,0.0030860101390557,0.0037,1.3335914692713443e-09,0.00682,0.0,0.000273,-0.000273,R,False
VA-01,VA,1,Likely R,Challenger,-6.880373957461114,590191.24,1030059.98,634444.06,1413780.54,-14.59193409738634,-15.293,6.255,0.0098286591246562,0.0072,1.1206764939167613e-08,0.006782,0.0,0.000846,-0.000846,R,False
CA-49,CA,49,Lean D,Incumbent,2.7222366320874105,14798577.98,3694761.48,4430338.07,1075464.28,25.529541930878526,25.656,10.145,0.994074750776921,0.9943,2.0443994495209213e-09,0.006654,0.0,0.005905,-0.005905,D,False
IN-07,IN,7,Safe D,Incumbent,18.607074845547505,374625.63,185749.96,347742.97,244320.0,38.38884842219973,38.389,11.817,0.9994199432781226,0.9994,6.633511970674493e-09,0.006634,0.0,0.000464,-0.000464,D,False
NY-03,NY,3,Lean D,Incumbent,1.705849946619914,6917944.62,1521377.72,7432273.42,2311624.76,24.80599040567925,23.163,10.046,0.9932299514600392,0.9894,5.091078662805214e-09,0.006516,0.0,0.009906,-0.009906,D,False
AZ-08,AZ,8,Safe R,Open,-10.181826844449173,13046.66,701155.61,466676.08,1337550.08,-20.193707881659797,-20.194,8.453,0.0084492993628117,0.0084,6.509016491858352e-09,0.006509,0.0,0.000622,-0.000622,R,False
VA-05,VA,5,Likely R,Challenger,-6.758397945939892,876255.1000000001,982218.83,344421.33,1119298.42,-13.323142653152846,-16.33,6.248,0.0164836919748195,0.0045,1.5300695420611473e-08,0.006199,0.0,0.000459,-0.000459,R,False
OH-13,OH,13,Lean D,Incumbent,-0.4196957081654351,5382657.28,1795117.86,6877720.9,777812.05,20.112687028243567,24.235,9.923,0.9786663630078064,0.9927,1.6382701646250142e-08,0.00607,0.0,0.009167,-0.009167,D,False
RI-02,RI,2,Likely D,Incumbent,3.771260111147329,28523418.410000004,1729690.48,1169643.62,3619.55,30.584119024845062,31.856,10.247,0.9985801737576196,0.9991,3.414289936695334e-10,0.006031,0.0,0.001559,-0.001559,D,False
IL-06,IL,6,Likely D,Incumbent,3.301383295087996,5833930.899999999,1719089.53,1976036.77,137673.74,25.44817233143903,29.802,10.201,0.9936954595451556,0.9983,5.258811050301475e-09,0.005915,0.0,0.002634,-0.002634,D,False
NY-20,NY,20,Likely D,Incumbent,6.380110330079763,765789.1499999999,958676.47,560327.99,0.0,16.685781554345496,35.193,10.507,0.9438556776661468,0.9996,1.4226287314135124e-07,0.005661,0.15,0.000747,0.149253,D,False
NY-18,NY,18,Lean D,Incumbent,0.6565680576901656,4045835.16,1394272.84,7411879.41,1295965.79,21.27099398122492,24.35,9.945,0.983774589882458,0.9928,1.7083583500753972e-08,0.005246,0.0,0.009879,-0.009879,D,False
PA-06,PA,6,Likely D,Incumbent,4.3527128827801125,3028211.4,1033967.89,1321366.29,38794.32,25.955936249016627,31.995,10.305,0.9941126438408276,0.999,9.108699822080494e-09,0.005236,0.0,0.001761,-0.001761,D,False
NV-03,NV,3,Lean D,Incumbent,1.8001935367752464,27792878.41,1806552.47,4312867.76,496836.7,28.022286614172085,26.972,10.055,0.9973389891315078,0.9963,6.293748145094165e-10,0.005154,0.0,0.005749,-0.005749,D,False
OH-01,OH,1,Lean D,Incumbent,1.4899957446163237,2451554.87,1284844.65,2779339.3,0.0,19.45696064999253,29.07,10.025,0.9738591126384314,0.9981,3.6950366844666014e-08,0.004877,0.0,0.003705,-0.003705,D,False
NM-03,NM,3,Likely D,Incumbent,3.975987688144228,3493787.34,231770.27,1720654.63,73223.3,30.718323082196203,31.233,10.268,0.9986132575106454,0.9988,2.708086668966328e-09,0.004835,0.0,0.002293,-0.002293,D,False
FL-14,FL,14,Safe D,Incumbent,8.855974120729392,970804.22,211312.32,509773.16,39396.58,36.59660196135931,36.597,10.76,0.9996643365731036,0.9997,4.7359923455848915e-09,0.004736,0.0,0.000679,-0.000679,D,False
