district_id,cook_rating,predicted_dccc_share,predicted_dccc_dollars,model_optimal_dollars
MO-07,Safe R,8.572700233493452e-05,33802.811293082166,2.9652721440907044
MO-08,Safe R,5.054085450405342e-05,19928.64466107013,7.275957614183426e-12
MS-01,Safe R,0.0003425244320405005,135059.99771575973,420632.8352185248
MS-02,Safe D,0.0008315806318864707,327898.58981439524,223763.6021325955
MS-03,Safe R,0.000620012030974742,244475.47577362545,334146.9726651699
MS-04,Safe R,0.00013954731586886905,55024.571678616296,22.95400053461708
MT-01,Likely R,0.003957858802638025,1560613.9324402576,4249200.154824881
MT-02,Safe R,0.0004876221375841897,192273.13040398643,14.057709718699698
NC-01,Lean D,0.005297280360830096,2088758.0753622153,3029583.880267327
NC-02,Safe D,0.0008440343054563727,332809.168350016,0.0
NC-03,Safe R,0.0007406135794855046,292029.5867879741,237054.89626675053
NC-04,Safe D,0.0008749870291637773,345014.063540454,0.0
NC-05,Safe R,0.0011092992450614603,437405.15855049924,544268.321865218
NC-06,Lean D,0.004738313010834236,1868352.9831943708,3893204.273922309
NC-07,Safe R,0.0026783539995303388,1056095.4233354982,1298205.4073517732
NC-08,Safe R,0.0002381253258879026,93894.63338101933,165827.08114625682
NC-09,Likely R,0.00721763258758752,2845967.614589024,6854104.707136554
NC-10,Safe R,0.00013109532657509638,51691.88779411142,1476.89269740499
NC-11,Safe R,0.0030593488494203994,1206324.6004173348,3994996.337639802
NC-12,Safe D,0.0005793659567654138,228448.41850018298,31066.944195304473
NC-13,Toss-Up,0.004747845008208562,1872111.5225077088,3036449.330476258
NC-14,Lean D,0.004143148303931259,1633674.99693816,3148874.7611545785
ND-00,Safe R,0.00021787881106402545,85911.27806363393,6575.303911123323
NE-01,Safe R,0.002180701461382346,859867.2294367268,1694176.759437331
NE-02,Toss-Up,0.009261741104326131,3651975.203469102,5402219.379715386
NE-03,Safe R,3.121734427184817e-05,12309.237098594382,0.0
NH-01,Lean D,0.013767198164888585,5428511.308304005,0.0
NH-02,Lean D,0.004829934389568681,1904479.9920879311,1243376.220587685
NJ-01,Safe D,0.0009543062535675327,376290.2390908169,0.0
NJ-02,Likely R,0.005258617192015655,2073512.8928196016,5152802.267294216
NJ-03,Likely D,0.002755062480689005,1086342.1628990103,135572.92397417547
NJ-04,Safe R,0.0006439852100515914,253928.2832480305,5466.294326153773
NJ-05,Likely D,0.013719154351034218,5409567.265828636,0.0
NJ-06,Safe D,0.00212646219071903,838480.2710575775,0.0
NJ-07,Lean R,0.01051670796118794,4146818.2130943793,5115614.870044787
NJ-08,Safe D,0.00027266353281778704,107513.31197065368,0.0
NJ-09,Safe D,0.0012473532367340058,491840.9011013863,400367.95757476334
NJ-10,Safe D,3.292950188339769e-05,12984.353912093853,0.0
NJ-11,Likely D,0.003151434690433683,1242634.7503322389,736458.1018885062
NJ-12,Safe D,0.001241219957076484,489422.5021229536,0.0
NM-01,Lean D,0.005528887344274049,2180082.4765692963,328170.0002627168
